;name;id;wikidataId;firstAuthor;numOfCoAuthors;title;subtitle;normalizedGenre;digitalSource;originalSourcePublisher;originalSourcePubPlace;originalSourceYear;originalSourceNumberOfPages;yearNormalized;size;libretto;averageClustering;density;averagePathLength;maxDegreeIds;averageDegree;diameter;yearPremiered;yearPrinted;maxDegree;numOfSpeakers;numOfSpeakersFemale;numOfSpeakersMale;numOfSpeakersUnknown;numPersonGroups;numConnectedComponents;numEdges;yearWritten;numOfSegments;wikipediaLinkCount;numOfActs;wordCountText;wordCountSp;wordCountStage;numOfP;numOfL;firstAuthorFirstname;firstAuthorGender;BDSL_autortitel;BDSL_autor
533;sudermann-die-schmetterlingsschlacht;ger000521;Q104664855;Sudermann;0;Die Schmetterlingsschlacht;Komödie in vier Akten;Comedy;https://books.google.com/books?id=KU04AQAAIAAJ&printsec=frontcover;Cotta;Stuttgart;1895.0;;1894;10;False;0.8615873015873013;0.7555555555555555;12.444.444.444.444.400;rosi;06. Aug;2;1894;1895.0;9;10;4;6;0;;1;34;;58;1;4;19957;19149;2296;1271;0;Hermann;male;0;68
534;sudermann-heimat;ger000100;Q5699549;Sudermann;0;Heimat;Schauspiel in vier Akten;;http://www.textgridrep.org/textgrid:w407.0;;;;;1893;14;False;0.830890934462363;0.6043956043956044;13.956.043.956.043.900;frau_schwartze;7.857.142.857.142.850;2;1893;1893.0;13;14;8;6;0;;1;55;;53;1;4;22128;21466;2526;1079;0;Hermann;male;2;68
535;sudermann-stein-unter-steinen;ger000541;Q107557211;Sudermann;0;Stein unter Steinen;Schauspiel in vier Akten;;https://www.gutenberg.org/ebooks/62132;;;;;1905;18;False;0.8200867034200368;0.5490196078431373;14.509.803.921.568.600;zarncke|lore;9.333.333.333.333.330;2;1905;1905.0;15;18;4;12;2;;1;84;;43;0;4;22102;20856;4194;1240;4;Hermann;male;0;68
536;thoma-die-lokalbahn;ger000361;Q52884344;Thoma;0;Die Lokalbahn;Komödie in drei Akten;Comedy;http://www.textgridrep.org/textgrid:wbvk.0;;;;;1902;15;False;0.8370536870536872;0.580952380952381;14.190.476.190.476.100;buergermeister;8.133.333.333.333.330;2;1902;1902.0;14;15;4;11;0;;1;61;;38;0;3;16381;15801;2557;1244;10;Ludwig;male;0;184
537;thoma-die-medaille;ger000037;Q52884454;Thoma;0;Die Medaille;Komödie in einem Akt;Comedy;http://www.textgridrep.org/textgrid:wc9p.0;;;;;1901;14;False;1.0;1.0;1.0;several characters;13.0;1;1901;1901.0;13;14;4;10;0;;1;91;;7;0;0;10364;10213;825;623;27;Ludwig;male;11;184
538;thoma-erster-klasse;ger000098;Q1362158;Thoma;0;Erster Klasse;Bauernschwank in einem Akt;Comedy;http://www.textgridrep.org/textgrid:wcbf.0;;;;;1910;10;False;0.95;0.9333333333333332;10.666.666.666.666.600;several characters;08. Apr;2;1910;1910.0;9;10;2;8;0;;1;42;1910;6;1;0;9917;9746;1863;679;0;Ludwig;male;1;184
539;thoma-lottchens-geburtstag;ger000207;Q55007595;Thoma;0;Lottchens Geburtstag;Lustspiel in einem Akt;Comedy;http://www.textgridrep.org/textgrid:wc9q.0;;;;;1911;6;False;0.9;0.8;01. Feb;frau_giselius|coelestine;4.0;2;1911;1911.0;5;6;4;2;0;;1;12;1911;11;0;0;7449;7247;1096;515;0;Ludwig;male;0;184
540;thoma-magdalena;ger000073;Q1883767;Thoma;0;Magdalena;Ein Volksstück in drei Aufzügen;;http://www.textgridrep.org/textgrid:wc0g.0;;;;;1912;13;False;0.6714618714618715;0.358974358974359;1.705.128.205.128.200;thomas;4.307.692.307.692.300;3;1912;1912.0;11;13;3;9;1;;1;28;;28;1;3;18748;18095;3334;1149;0;Ludwig;male;2;184
541;thoma-moral;ger000056;Q55007722;Thoma;0;Moral;Komödie in drei Akten;Comedy;http://www.textgridrep.org/textgrid:wcj0.0;;;;;1908;17;False;0.8604575163398693;0.4338235294117647;17.647.058.823.529.400;beermann;6.941.176.470.588.230;3;1908;1909.0;13;17;7;10;0;;1;59;;25;0;3;19086;18383;2458;1170;3;Ludwig;male;26;184
542;tieck-der-gestiefelte-kater;ger000285;Q1198710;Tieck;0;Der gestiefelte Kater;Ein Kindermärchen in drei Akten, mit Zwischenspielen, einem Prologe und Epiloge;;http://www.textgridrep.org/textgrid:wdvq.0;;;;;1797;48;False;0.8695936948181949;0.4459219858156028;1.607.269.503.546.090;fischer;2.095.833.333.333.330;3;1844;1797.0;43;48;2;36;10;;1;503;;19;1;3;19066;18681;1785;789;47;Ludwig;male;13;919
543;tieck-die-theegesellschaft;ger000496;Q94393683;Tieck;0;Die Theegesellschaft;Lustspiel in Einem Aufzuge;Comedy;https://www.projekt-gutenberg.org/tieck/theeges/index.html;;;;;1797;10;False;0.9349206349206348;0.8222222222222222;11.777.777.777.777.700;ahlfeld;07. Apr;2;;1797.0;9;10;1;9;0;;1;37;1796;18;0;0;9059;8794;554;567;0;Ludwig;male;2;919
544;tieck-die-verkehrte-welt;ger000313;Q55999055;Tieck;0;Die verkehrte Welt;Ein historisches Schauspiel in fünf Aufzügen;;http://www.textgridrep.org/textgrid:wdq6.0;;;;;1800;74;False;0.8464801499269291;0.2913735653461681;1.697.338.746.053.220;scaevola;2.127.027.027.027.020;3;;1800.0;56;74;14;51;9;;4;787;;21;0;5;23686;21524;1081;961;417;Ludwig;male;8;919
545;tieck-karl-von-berneck;ger000530;Q42191817;Tieck;0;Karl von Berneck;Trauerspiel in fünf Aufzügen;Tragedy;https://www.projekt-gutenberg.org/tieck/berneck/index.html;;;;;1797;19;False;0.8200252963410858;0.6023391812865497;13.976.608.187.134.500;conrad|karl;10.842.105.263.157.800;2;;1797.0;18;19;3;15;1;;1;103;1793/1795;19;0;5;23520;22848;1244;1026;47;Ludwig;male;1;919
546;tieck-leben-und-tod-der-heiligen-genoveva;ger000531;Q105762516;Tieck;0;Leben und Tod der heiligen Genoveva;Ein Trauerspiel;Tragedy;http://www.textgridrep.org/textgrid:wdfd.0;;;;;1800;68;False;0.8409832260663463;0.1597892888498683;207.945.566.286.216;siegfried;10.705.882.352.941.100;4;1807;1800.0;52;68;6;55;7;;1;364;1799;61;0;0;46522;46138;1099;246;5676;Ludwig;male;4;919
